날짜,종목코드,종목명,업종명,시장구분,시가,고가,저가,종가,거래량,시가총액
2025-03-14,000040,KR모터스,운송장비·부품,KOSPI,397,399,391,396,62254,23812615728
2025-03-14,044450,KSS해운,운송·창고,KOSPI,8780,8780,8650,8730,29645,201539732400
2025-03-14,030200,KT,통신,KOSPI,48550,49400,48250,49100,328650,12374264733500
2025-03-14,033780,KT&G,음식료·담배,KOSPI,95400,96100,94600,95000,179284,11595937215000
2025-03-14,058850,KTcs,IT 서비스,KOSPI,2695,2720,2685,2705,78621,115462925000
2025-03-14,058860,KTis,IT 서비스,KOSPI,2585,2605,2580,2600,43339,90485200000
2025-03-14,093050,LF,섬유·의류,KOSPI,15240,15240,15070,15160,25973,443278400000
2025-03-14,003550,LG,기타금융,KOSPI,67600,67600,67000,67400,265168,10602086928200
2025-03-14,034220,LG디스플레이,전기·전자,KOSPI,9010,9040,8960,8990,624686,4495000000000
2025-03-14,051900,LG생활건강,화학,KOSPI,326000,332500,323000,327000,21466,5107150419000
2025-03-14,051905,LG생활건강우,화학,KOSPI,126100,129200,126100,127300,5183,267291428100
2025-03-14,064400,LG씨엔에스,IT 서비스,KOSPI,51700,52600,51300,51700,312109,5009003511600
2025-03-14,373220,LG에너지솔루션,전기·전자,KOSPI,339500,340000,325000,326500,444770,76401000000000
2025-03-14,003555,LG우,기타금융,KOSPI,57100,57100,56600,56900,2762,171930178000
2025-03-14,032640,LG유플러스,통신,KOSPI,10740,10740,10600,10710,481702,4676107676310
2025-03-14,011070,LG이노텍,전기·전자,KOSPI,158400,160200,157800,158000,205611,3739402906000
2025-03-14,066570,LG전자,전기·전자,KOSPI,80900,82300,79900,80500,445598,13173649027000
2025-03-14,066575,LG전자우,전기·전자,KOSPI,38600,39000,38350,38750,16657,665957190000
2025-03-14,037560,LG헬로비전,오락·문화,KOSPI,2370,2400,2365,2370,43952,183549070050
2025-03-14,051910,LG화학,화학,KOSPI,242500,245500,230000,231000,397370,16306831233000
2025-03-14,051915,LG화학우,화학,KOSPI,115700,116000,110800,112300,57385,863452240000
2025-03-14,079550,LIG넥스원,금속,KOSPI,280500,281500,274500,276000,258797,6072000000000
2025-03-14,006260,LS,기타금융,KOSPI,127400,132900,123800,130100,2335147,4189220000000
2025-03-14,010120,LS ELECTRIC,전기·전자,KOSPI,207000,210000,204500,206500,332409,6195000000000
2025-03-14,000680,LS네트웍스,유통,KOSPI,4235,4365,4170,4255,2168158,335306833080
2025-03-14,229640,LS에코에너지,기타금융,KOSPI,34550,37325,34550,36600,286687,1120870571400
2025-03-14,108320,LX세미콘,전기·전자,KOSPI,57000,58200,57000,57600,16289,936823680000
2025-03-14,001120,LX인터내셔널,유통,KOSPI,25700,25950,25200,25550,223437,990318000000
2025-03-14,108670,LX하우시스,화학,KOSPI,30300,30400,29950,30200,18954,270823634000
2025-03-14,108675,LX하우시스우,화학,KOSPI,18190,18190,18080,18080,1042,18664526400
2025-03-14,383800,LX홀딩스,기타금융,KOSPI,6580,6660,6570,6640,95193,506503781600
2025-03-14,38380K,LX홀딩스1우,기타금융,KOSPI,8010,8030,7940,8010,503,11736932850
2025-03-14,023150,MH에탄올,음식료·담배,KOSPI,5160,5160,4960,5050,7550,37261556300
2025-03-14,035420,NAVER,IT 서비스,KOSPI,215500,216500,208000,208000,514444,32954897664000
2025-03-14,181710,NHN,IT 서비스,KOSPI,18100,18380,18030,18120,35990,611842148760
2025-03-14,400760,NH올원리츠,부동산,KOSPI,3525,3550,3485,3530,41929,154500644640
2025-03-14,005940,NH투자증권,증권,KOSPI,14660,14700,14460,14490,424988,4745363412510
2025-03-14,005945,NH투자증권우,증권,KOSPI,13110,13110,12980,13000,114709,245322584000
2025-03-14,338100,NH프라임리츠,부동산,KOSPI,4525,4525,4430,4490,18519,83783400000
