종목코드,종목명,업종,RS,RS_1M,RS_2M,RS_3M,MTT,시가총액,테마명
223310,딥마인드,식품과기본식료품소매,95,73,17,93,0,63836053125,"자율주행차,스마트카(SMART CAR),드론(Drone),사물인터넷,증강현실(AR),지능형로봇/인공지능(AI),4차산업 수혜주"
222800,심텍,전자장비와기기,95,93,98,98,0,727867167550,"PCB(FPCB 등),SSD,3D 낸드(NAND)"
008830,대동기어,기계,95,39,93,92,0,183794784000,"자동차부품,농업"
089010,켐트로닉스,화학,95,64,96,97,0,431661839900,"전자파,스마트폰,무선충전기술,태블릿PC,폴더블폰,LCD 부품/소재,갤럭시 부품주,자율주행차"
066430,와이오엠,기타 전문 도매업,95,98,97,96,0,34611672784,
115310,인포바인,IT서비스,95,38,97,96,0,108558022000,"인터넷은행,전자결제(전자화폐),삼성페이"
071090,하이스틸,철강,95,98,97,96,97,92880766600,"남-북-러 가스관사업,철강 중소형,수자원(양적/질적 개선),강관업체(Steel pipe)"
267320,나인테크,전기제품,95,95,98,97,98,165331839700,"2차전지(장비),OLED(유기 발광 다이오드),기업인수목적회사(SPAC),2차전지"
065170,비엘팜텍,제약,95,98,98,97,0,38023310625,"화장품,마리화나(대마),자원개발,건강기능식품"
014620,성광벤드,기계,94,33,22,82,0,734520786100,"피팅(관이음쇠)/밸브,원자력발전,조선기자재"
082800,비보존 제약,제약,94,9,32,6,0,335200215540,"LED,제약업체"
420570,제이투케이바이오,기타 화학제품 제조업,94,97,94,90,0,73502861310,
103590,일진전기,전기장비,94,15,26,71,0,1316116764000,"전선,전력설비,스마트그리드(지능형전력망)"
007390,네이처셀,생물공학,94,10,46,9,0,1101150939160,"코로나19(치료제/백신 개발 등),음식료업종,코로나19(진단/치료제/백신 개발 등),치매,줄기세포,화장품"
356860,티엘비,반도체와반도체장비,94,79,98,97,0,226150490000,"PCB(FPCB 등),2020 하반기 신규상장"
393210,토마토시스템,IT서비스,94,54,96,92,0,96029445600,"2023 상반기 신규상장,SI(시스템통합)"
199550,레이저옵텍,의료용 기기 제조업,94,97,97,97,0,124663586850,
176750,듀켐바이오,의약품 제조업,94,95,98,88,0,406909646000,
034020,두산에너빌리티,기계,94,24,94,94,97,17295150942000,"셰일가스(Shale Gas),원자력발전,핵융합에너지,풍력에너지,원자력발전소 해체,전력설비,항공기부품,수자원(양적/질적 개선),폐배터리"
000500,가온전선,전기장비,94,8,4,70,0,802341077500,"전선,전력설비"
062040,산일전기,전동기/ 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,94,7,3,23,0,1829756520000,
052710,아모텍,핸드셋,94,90,97,97,0,96752021580,"MLCC(적층세라믹콘덴서),갤럭시 부품주,삼성페이,핀테크(FinTech),전자파,RFID(NFC 등),휴대폰부품,스마트폰"
351320,에스에이티이엔지,디스플레이장비및부품,94,64,98,97,97,56140509300,"2020 상반기 신규상장,OLED(유기 발광 다이오드),기업인수목적회사(SPAC)"
008110,대동전자,통신 및 방송 장비 제조업,94,66,53,46,0,157776322880,
017810,풀무원,식품,94,91,97,94,0,627082915900,"음식료업종,지주사"
298040,효성중공업,전기장비,94,24,55,59,0,4205371148000,"수소차(연료전지/부품/충전소 등),전력저장장치(ESS),풍력에너지,원자력발전,전력설비"
335870,윙스풋,섬유/의류/신발/호화품,94,63,95,96,0,34447136430,"패션/의류,기업인수목적회사(SPAC),2019 하반기 신규상장"
023160,태광,기계,94,61,75,92,0,598900000000,"원자력발전,조선기자재,피팅(관이음쇠)/밸브"
