code,name,market
002720,국제약품,코스피
002760,보락,코스피
002780,진흥기업,코스피
002790,아모레퍼시픽홀딩스,코스피
002810,삼영무역,코스피
002820,SUN&L,코스피
002840,미원상사,코스피
002870,신풍,코스피
002880,대유에이텍,코스피
002900,TYM,코스피
002920,유성기업,코스피
002960,한국쉘석유,코스피
002990,금호건설,코스피
003000,부광약품,코스피
003010,혜인,코스피
003030,세아제강지주,코스피
003060,에이프로젠바이오로직스,코스피
003070,코오롱글로벌,코스피
003080,SB성보,코스피
003090,대웅,코스피
003120,일성아이에스,코스피
003160,디아이,코스피
003200,일신방직,코스피
003220,대원제약,코스피
003230,삼양식품,코스피
003240,태광산업,코스피
003280,흥아해운,코스피
003300,한일홀딩스,코스피
003350,한국화장품제조,코스피
003460,유화증권,코스피
003470,유안타증권,코스피
003480,한진중공업홀딩스,코스피
003490,대한항공,코스피
003520,영진약품,코스피
003530,한화투자증권,코스피
003540,대신증권,코스피
003550,LG,코스피
003560,IHQ,코스피
003570,SNT다이내믹스,코스피
003580,HLB글로벌,코스피
003610,방림,코스피
003620,KG모빌리티,코스피
003650,미창석유,코스피
003670,포스코퓨처엠,코스피
003680,한성기업,코스피
003690,코리안리,코스피
003720,삼영,코스피
003780,진양산업,코스피
003830,대한화섬,코스피
003850,보령,코스피
003920,남양유업,코스피
003960,사조대림,코스피
004000,롯데정밀화학,코스피
004020,현대제철,코스피
004060,SG세계물산,코스피
004080,신흥,코스피
004090,한국석유,코스피
004100,태양금속,코스피
004140,동방,코스피
004150,한솔홀딩스,코스피
004170,신세계,코스피
004250,NPC,코스피
004270,남성,코스피
004310,현대약품,코스피
004360,세방,코스피
004370,농심,코스피
004380,삼익THK,코스피
004410,서울식품,코스피
004430,송원산업,코스피
004440,삼일씨엔에스,코스피
004450,삼화왕관,코스피
004490,세방전지,코스피
004540,깨끗한나라,코스피
004560,현대비앤지스틸,코스피
004690,삼천리,코스피
004700,조광피혁,코스피
004710,한솔테크닉스,코스피
004720,팜젠사이언스,코스피
004770,써니전자,코스피
004800,효성,코스피
004830,덕성,코스피
004840,DRB동일,코스피
004870,티웨이홀딩스,코스피
004890,동일산업,코스피
004910,조광페인트,코스피
004920,씨아이테크,코스피
004960,한신공영,코스피
004970,신라교역,코스피
004980,성신양회,코스피
004990,롯데지주,코스피
005010,휴스틸,코스피
005030,부산주공,코스피
005070,코스모신소재,코스피
005090,SGC에너지,코스피
005110,한창,코스피
005180,빙그레,코스피
005250,녹십자홀딩스,코스피
005300,롯데칠성,코스피
005320,온타이드,코스피
005360,모나미,코스피
005380,현대차,코스피
005390,신성통상,코스피
005420,코스모화학,코스피
005430,한국공항,코스피
005440,현대지에프홀딩스,코스피
005490,POSCO홀딩스,코스피
005500,삼진제약,코스피
005610,SPC삼립,코스피
005680,삼영전자,코스피
005690,파미셀,코스피
005720,넥센,코스피
005740,크라운해태홀딩스,코스피
005750,대림바스,코스피
005800,신영와코루,코스피
005810,풍산홀딩스,코스피
005820,원림,코스피
005830,DB손해보험,코스피
005850,에스엘,코스피
005870,휴니드,코스피
005880,대한해운,코스피
005930,삼성전자,코스피
005940,NH투자증권,코스피
005950,이수화학,코스피
005960,동부건설,코스피
006040,동원산업,코스피
006060,화승인더,코스피
006090,사조오양,코스피
006110,삼아알미늄,코스피
006120,SK디스커버리,코스피
006200,한국전자홀딩스,코스피
006220,제주은행,코스피
006260,LS,코스피
006280,녹십자,코스피
006340,대원전선,코스피
006360,GS건설,코스피
006370,대구백화점,코스피
006380,카프로,코스피
006390,한일현대시멘트,코스피
006400,삼성SDI,코스피
006490,인스코비,코스피
006570,대림통상,코스피
006650,대한유화,코스피
006660,삼성공조,코스피
006740,영풍제지,코스피
006800,미래에셋증권,코스피
006840,AK홀딩스,코스피
006880,신송홀딩스,코스피
006890,태경케미컬,코스피
006980,우성,코스피
007070,GS리테일,코스피
007110,일신석재,코스피
007120,미래아이앤지,코스피
007160,사조산업,코스피
007210,벽산,코스피
007280,한국특강,코스피
007310,오뚜기,코스피
007340,DN오토모티브,코스피
007460,에이프로젠,코스피
007540,샘표,코스피
007570,일양약품,코스피
007590,동방아그로,코스피
007610,선도전기,코스피
007660,이수페타시스,코스피
007690,국도화학,코스피
007700,F&F홀딩스,코스피
007810,코리아써키트,코스피
007860,서연,코스피
007980,TP,코스피
008040,사조동아원,코스피
008060,대덕,코스피
008110,대동전자,코스피
008250,이건산업,코스피
008260,NI스틸,코스피
008350,남선알미늄,코스피
008420,문배철강,코스피
008490,서흥,코스피
008500,일정실업,코스피
008600,윌비스,코스피
008700,아남전자,코스피
008730,율촌화학,코스피
008770,호텔신라,코스피
008870,금비,코스피
008930,한미사이언스,코스피
008970,동양철관,코스피
009070,KCTC,코스피
009140,경인전자,코스피
009150,삼성전기,코스피
009160,SIMPAC,코스피
009180,한솔로지스틱스,코스피
009190,대양금속,코스피
009200,무림페이퍼,코스피
009240,한샘,코스피
009270,신원,코스피
009290,광동제약,코스피
009310,참엔지니어링,코스피
009320,아진전자부품,코스피
009410,태영건설,코스피
009420,한올바이오파마,코스피
009440,KC그린홀딩스,코스피
009450,경동나비엔,코스피
009460,한창제지,코스피
009470,삼화전기,코스피
009540,HD한국조선해양,코스피
009580,무림P&P,코스피
009680,모토닉,코스피
009770,삼정펄프,코스피
009810,플레이그램,코스피
009830,한화솔루션,코스피
009900,명신산업,코스피
009970,영원무역홀딩스,코스피
010040,한국내화,코스피
010060,OCI홀딩스,코스피
010100,한국무브넥스,코스피
010120,LS ELECTRIC,코스피
010130,고려아연,코스피
010140,삼성중공업,코스피
010400,우진아이엔에스,코스피
010420,한솔PNS,코스피
010580,에스엠벡셀,코스피
010600,웰바이오텍,코스피
010620,HD현대미포,코스피
010640,진양폴리,코스피
010660,화천기계,코스피
010690,화신,코스피
010770,평화홀딩스,코스피
010780,아이에스동서,코스피
010820,퍼스텍,코스피
010950,S-Oil,코스피
010960,삼호개발,코스피
011000,진원생명과학,코스피
011070,LG이노텍,코스피
011090,에넥스,코스피
011150,CJ씨푸드,코스피
011170,롯데케미칼,코스피
011200,HMM,코스피
011210,현대위아,코스피
011230,삼화전자,코스피
011280,태림포장,코스피
011300,성안머티리얼스,코스피
011330,유니켐,코스피
011390,부산산업,코스피
011420,갤럭시아에스엠,코스피
011500,한농화성,코스피
011690,와이투솔루션,코스피
011700,한신기계,코스피
011760,현대코퍼레이션,코스피
011780,금호석유화학,코스피
011790,SKC,코스피
011810,STX,코스피
011930,신성이엔지,코스피
012030,DB,코스피
012160,영흥,코스피
012170,아센디오,코스피
012200,계양전기,코스피
012280,영화금속,코스피
012320,경동인베스트,코스피
012330,현대모비스,코스피
012450,한화에어로스페이스,코스피
012510,더존비즈온,코스피
012610,경인양행,코스피
012630,HDC,코스피
012690,모나리자,코스피
012750,에스원,코스피
012800,대창,코스피
013000,세우글로벌,코스피
013360,일성건설,코스피
013520,화승코퍼레이션,코스피
013570,디와이,코스피
013580,계룡건설,코스피
013700,까뮤이앤씨,코스피
013870,지엠비코리아,코스피
013890,지누스,코스피
014130,한익스프레스,코스피
014160,대영포장,코스피
014280,금강공업,코스피
014440,영보화학,코스피
014530,극동유화,코스피
014580,태경비케이,코스피
014680,한솔케미칼,코스피
014710,사조씨푸드,코스피
014790,HL D&I,코스피
014820,동원시스템즈,코스피
014830,유니드,코스피
014910,성문전자,코스피
014990,인디에프,코스피
015020,이스타코,코스피
015230,대창단조,코스피
015260,에이엔피,코스피
015360,INVENI,코스피
015590,DKME,코스피
015760,한국전력,코스피
015860,일진홀딩스,코스피
015890,태경산업,코스피
016090,대현,코스피
016360,삼성증권,코스피
016380,KG스틸,코스피
016450,한세예스24홀딩스,코스피
016580,환인제약,코스피
016590,신대양제지,코스피
016610,DB증권,코스피
016710,대성홀딩스,코스피
016740,두올,코스피
016800,퍼시스,코스피
016880,웅진,코스피
017040,광명전기,코스피
017180,명문제약,코스피
017370,우신시스템,코스피
017390,서울가스,코스피
017550,수산세보틱스,코스피
017670,SK텔레콤,코스피
017800,현대엘리베이터,코스피
017810,풀무원,코스피
017860,DS단석,코스피
017900,광전자,코스피
017940,E1,코스피
017960,한국카본,코스피
018250,애경산업,코스피
018260,삼성에스디에스,코스피
018470,조일알미늄,코스피
018500,동원금속,코스피
018670,SK가스,코스피
018880,한온시스템,코스피
019170,신풍제약,코스피
019180,티에이치엔,코스피
019440,세아특수강,코스피
019490,엑시큐어하이트론,코스피
019680,대교,코스피
020000,한섬,코스피
020120,키다리스튜디오,코스피
020150,롯데에너지머티리얼즈,코스피
020560,아시아나항공,코스피
020760,일진디스플,코스피
021050,서원,코스피
021240,코웨이,코스피
021820,세원정공,코스피
022100,포스코DX,코스피
023000,삼원강재,코스피
023150,MH에탄올,코스피
023350,한국종합기술,코스피
023450,동남합성,코스피
023530,롯데쇼핑,코스피
023590,다우기술,코스피
023800,인지컨트롤스,코스피
023810,인팩,코스피
023960,에쓰씨엔지니어링,코스피
024070,WISCOM,코스피
024090,디씨엠,코스피
024110,기업은행,코스피
024720,콜마홀딩스,코스피
024890,대원화성,코스피
024900,디와이덕양,코스피
025000,KPX케미칼,코스피
025530,SJM홀딩스,코스피
025540,한국단자,코스피
025560,미래산업,코스피
025620,제이준코스메틱,코스피
025750,한솔홈데코,코스피
025820,이구산업,코스피
025860,남해화학,코스피
025890,한국주강,코스피
026890,스틱인베스트먼트,코스피
026940,부국철강,코스피
026960,동서,코스피
027410,BGF,코스피
027740,마니커,코스피
027970,한국제지,코스피
028050,삼성E&A,코스피
028100,동아지질,코스피
028260,삼성물산,코스피
028670,팬오션,코스피
029460,케이씨,코스피
029530,신도리코,코스피
029780,삼성카드,코스피
030000,제일기획,코스피
030190,NICE평가정보,코스피
030200,KT,코스피
030210,다올투자증권,코스피
030610,교보증권,코스피
030720,동원수산,코스피
031210,서울보증보험,코스피
031430,신세계인터내셔날,코스피
031440,신세계푸드,코스피
031820,아이티센씨티에스,코스피
